ds,yhat,yhat_lower,yhat_upper
2025-08-31,48.857368090164606,39.36911277561217,57.45293550911252
2025-09-30,53.706999321844386,43.93301852698501,63.33540359625164
2025-10-31,49.73974444647634,39.69320166479558,58.15921915671279
2025-11-30,45.12012144884353,36.17137172293807,54.77850128700668
2025-12-31,71.73144342603089,62.33407159363685,80.81073918531222
2026-01-31,70.00261123321587,61.259863954460556,79.4944187586866
2026-02-28,66.8361930219813,57.67569977434353,76.25426221528332
2026-03-31,61.228157180039716,51.65709615977462,69.5464227525927
2026-04-30,46.078516786412834,36.58357684165847,55.12209556532328
2026-05-31,39.73042381766793,30.65166059559936,49.19341385745488
2026-06-30,40.08812590167446,30.672472423067298,50.124156620747414
2026-07-31,41.88927130660611,32.92966638356846,50.722527010640206
